name,NI,age
Lonnie,0.25,15
Jackie,0.1,19
Allan,0.84,13
Gilbert,1,36
Neil,0.35,58
Gene,0.28,19
Floyd,0.54,16
Juan,0.83,50
Brad,0.16,16
Wesley,0.34,42
Lewis,0.61,6
Franklin,0.04,16
Reginald,0.22,59
Chris,0.95,24
Robin,0.38,13
Clyde,0.9,65
Donnie,0.71,39
Randolph,0.64,26
Lester,0.9,41
Karl,0.45,36
Dana,0.06,50
Kent,0.26,10
Kurt,0.72,45
Manuel,0.98,20
Kerry,0.96,52
Jimmie,0.15,35
Carlos,0.25,35
Leo,0.16,24
Jim,0.37,44
Milton,0.42,52
Bill,0.76,62
Gerard,0.57,20
Freddie,0.3,51
Stuart,0.72,41
Daryl,0.15,19
Harvey,0.15,63
Charlie,0.4,42
Terrence,0.53,22
Johnnie,0.66,12
Chester,0.26,35
Herman,0.45,7
Lynn,0.18,63
Tom,0.83,14
Kirk,0.54,22
Rex,0.78,22
Ted,0.98,43
Darryl,0.6,62
Roland,0.9,61
Cecil,0.43,22
Todd,0.47,64
Arnold,0.96,9
Oscar,0.97,57
Ruben,0.52,44
Perry,0.01,9
Alexander,0.43,39
Nathaniel,0.31,36
Bryan,0.97,8
Fredrick,0.53,30
Maurice,0.12,42
Brent,0.96,39
Tyrone,0.39,64
Antonio,0.21,31
Claude,0.73,57
Terrance,0.1,44
Marshall,0.84,54
Ricardo,0.36,19
Neal,0.56,23
Mario,0.31,63
Byron,0.21,10
Clifton,0.78,29
Sidney,0.2,14
Luis,0.76,19
Rickie,0.38,7
Ross,0.85,9
Jessie,0.47,25
Aaron,1,61
Jeff,0.02,43
Wallace,0.9,9
Nathan,0.97,22
Kelly,0.72,63
Wendell,0.69,49
Greg,0.16,24
Gregg,0.15,25
Hugh,0.42,29
Nelson,0.67,42
Lance,0.12,48
Morris,0.92,10
Benny,0.93,60
Edgar,0.35,47
Randal,0.27,60
Marcus,0.51,15
Lyle,0.31,9
Sam,0.17,50
Clayton,1,55
Carlton,0.48,33
Dave,0.58,8
Marion,0.97,5
Francisco,0.68,9
Tim,0.52,45
Clinton,0.7,9
Jesus,0.4,37
Rocky,0.57,53
Raul,0.44,41
Bradford,0.33,65
Earnest,0.94,27
Sammy,0.59,64
Jan,0.96,39
Roberto,0.97,42
Wade,0.89,34
Everett,0.68,58
Ben,0.64,11
Otis,0.9,65
Bennie,0.49,56
Virgil,0.67,24
Alex,0.61,8
Max,0.73,52
Clark,0.98,23
Laurence,0.59,57
Ira,0.37,25
Andre,0.87,35
Frankie,0.8,9
Bob,0.67,33
Troy,0.43,25
Loren,0.91,59
Willard,0.32,23
Rudy,0.56,16
Elmer,0.85,25
Luther,0.46,62
Geoffrey,0.74,63
Terence,1,11
Rudolph,0.14,54
Hector,0.91,42
Salvatore,0.66,14
Myron,0.26,10
Sylvester,0.91,55
Rodger,0.18,31
Grant,0.59,58
Ramon,0.61,21
Roosevelt,0.51,10
Darrel,0.29,52
Edmund,0.54,29
Horace,0.95,64
Miguel,1,42
Delbert,0.99,7
Pedro,0.88,34
Alton,0.71,43
Malcolm,0.98,54
Stewart,0.15,20
Julius,0.14,26
Mickey,0.86,22
Fernando,0.57,36
Isaac,0.31,28
Roderick,0.97,37
Angelo,0.65,17
Armando,0.77,53
Van,0.95,43
Kenny,0.75,39
Denis,0.04,27
Monte,0.12,23
Felix,0.08,17
Jacob,0.04,43
Sherman,0.04,37
Unknown,0.45,50
Archie,0.61,18
Dwayne,0.46,48
Oliver,0.05,8
Tommie,0.95,39
Lorenzo,0.36,45
Stephan,0.12,55
Doyle,0.13,47
Wilbert,0.75,41
Leland,0.1,9
Hubert,0.97,47
Derrick,0.06,62
Cary,0.14,32
Jerald,0.64,61
Forrest,0.59,33
Joey,0.08,15
Rene,0.01,9
Andy,0.64,25
Pete,0.72,59
Jeffry,0.83,49
Ivan,0.61,14
Julian,0.39,51
Preston,0.55,55
Rufus,0.12,33
Lowell,0.26,23
Teddy,0.7,22
Homer,0.53,15
Mack,0.29,43
Ervin,0.02,30
Tracy,1,25
Willis,0.52,60
Kelvin,0.29,27
Angel,0.13,22
Dirk,0.15,8
Shawn,0.88,22
Brett,0.08,15
Carroll,0.92,15
Nick,0.5,63
Wilbur,0.48,30
Grady,0.22,44
Marty,0.72,17
Rafael,0.96,8
Hal,0.47,27
Arturo,0.28,13
Sean,0.75,38
Alfonso,0.91,6
Alfredo,0.08,14
Sheldon,0.4,62
Dallas,0.79,58
Freddy,0.98,9
Conrad,0.3,45
Owen,0.51,49
Carey,0.05,22
Ron,0.96,18
Kyle,0.99,26
Derek,0.69,64
Dewey,0.94,63
Ellis,0.4,52
Alonzo,0.62,14
Adrian,0.63,11
Ken,1,41
Sammie,0.6,64
Royce,0.34,15
Travis,0.06,23
Percy,0.94,26
Miles,0.51,20
Shane,0.94,62
Dominic,0.44,15
Garland,0.39,44
Lionel,0.66,57
Monty,0.71,14
Noel,0.76,57
Christian,0.95,14
Elbert,0.76,27
Irvin,0.43,42
Bert,0.85,14
Jorge,0.23,43
Jerrold,0.39,20
Rodolfo,0.83,31
Guadalupe,0.33,49
Boyd,0.84,17
Clay,0.22,14
Aubrey,0.69,40
Marlin,0.78,59
Gerry,0.61,43
Wilson,0.39,62
Cornelius,0.86,25
Buddy,0.92,17
Dexter,0.39,36
Blaine,0.93,14
Kirby,0.67,39
Alberto,0.78,40
Cleveland,0.41,50
Darwin,0.65,18
Louie,0.23,45
Dominick,0.59,48
Ronny,0.76,7
Curt,0.68,43
Al,0.29,11
Pat,0.91,13
Stevie,0.05,62
Galen,0.9,37
Salvador,0.94,41
Woodrow,1,33
Jason,0.13,38
Edmond,0.35,21
Merle,0.75,20
Abraham,0.09,36
Jaime,0.97,14
Elton,0.83,34
Spencer,0.14,42
Dewayne,0.64,31
Darnell,0.8,58
Rory,0.57,18
Gabriel,0.08,30
Lamar,0.75,60
Murray,0.81,12
Evan,0.41,33
Adam,0.47,35
Dane,0.15,65
Emmett,0.99,11
Amos,0.2,11
Vance,0.06,13
Enrique,0.29,7
Joesph,0.68,46
Blake,0.86,27
Orlando,0.07,51
Blair,0.53,46
Donny,0.38,10
Ernie,0.64,44
Harlan,0.13,30
Alphonso,0.31,62
Eldon,0.07,12
Winston,0.13,27
Moses,0.71,20
Sandy,0.19,52
Garth,0.22,34
Ned,0.9,33
Barney,0.45,26
Drew,0.77,11
Junior,0.46,59
Elliott,0.46,29
Thaddeus,0.05,17
Elijah,0.53,65
Wilfred,0.47,26
Gale,0.76,22
Jamie,0.7,34
Reed,0.54,52
Sterling,0.63,18
Linwood,0.13,61
Timmy,0.85,57
Julio,0.51,24
Irving,0.94,47
Orville,0.64,7
Colin,0.78,40
Javier,0.91,39
Jess,0.94,10
Billie,1,17
Norris,0.2,35
Harley,0.26,54
Michel,0.08,18
Lanny,0.37,8
Austin,0.52,24
Phil,0.42,14
Casey,0.98,44
Vaughn,0.47,22
Ernesto,0.78,33
Lamont,0.84,51
Lon,0.45,36
Randell,1,44
Ramiro,0.22,6
Frederic,0.67,41
Simon,0.87,49
Robbie,0.91,19
Abel,0.71,39
Sanford,0.32,5
Cedric,0.56,40
Dannie,0.72,46
Denny,0.68,5
Emanuel,0.01,53
Erik,0.16,19
Kermit,0.02,39
Reynaldo,0.14,9
Seth,0.13,55
Grover,0.67,24
Carmen,0.03,43
Eddy,0.06,11
Kendall,0.14,32
Levi,0.54,29
Damon,0.71,33
Scot,0.66,61
Justin,0.14,40
Jasper,0.07,5
Vern,0.42,60
Nolan,0.02,34
Marlon,0.27,49
Rusty,0.2,48
Will,0.17,6
Harrison,0.82,29
Chad,0.43,5
Rocco,0.76,30
Cornell,0.32,44
Danial,0.24,19
Kris,0.53,49
Norbert,0.78,46
Jody,0.31,24
Zachary,0.97,63
Eduardo,0.63,8
Gus,0.59,42
Hollis,0.46,5
Luke,0.44,54
Bart,0.21,40
Dudley,0.46,40
Kennith,0.5,49
Terrell,0.73,32
Ward,0.96,8
August,0.95,61
Elwood,0.86,62
Loyd,0.26,60
Burton,0.81,19
Carter,0.65,52
Pablo,0.32,28
Joshua,0.35,8
Stan,0.2,31
Thurman,0.97,14
Bennett,0.47,27
Roscoe,0.07,57
Toby,0.14,50
Mathew,0.79,41
Bryant,0.51,63
Elvin,0.02,61
Lane,0.22,41
Reuben,0.84,41
Emil,0.69,56
Felipe,0.39,19
Jefferson,0.83,36
Millard,0.08,19
Reid,0.92,26
Dwain,0.38,14
Morgan,0.7,9
Odell,0.31,35
Doug,0.42,7
Roman,0.79,24
Erwin,0.03,46
Fredric,0.2,64
Cameron,0.3,15
Gilberto,0.73,42
Hank,0.74,43
Jake,0.11,31
Ulysses,0.92,35
Emory,0.73,59
Tomas,0.41,31
Garrett,0.87,26
Ian,0.74,36
Jeremiah,0.04,28
Lindsey,0.29,19
Mary,0.29,8
Pierre,0.52,53
Domingo,0.73,18
Donn,0.81,63
Ed,0.48,39
Russel,0.06,27
Ivory,0.03,6
Jerold,0.86,11
Riley,0.93,64
Solomon,0.48,5
Dick,0.96,13
Wiley,0.56,35
Nicky,0.53,37
Elliot,0.13,57
Ismael,0.15,15
Israel,0.94,52
Jacky,0.59,19
Barton,0.87,17
Brandon,0.78,61
Elias,0.35,20
Santos,0.19,47
Alejandro,0.44,54
Jean,0.59,64
Duncan,0.34,35
Kenton,0.88,37
Sergio,0.6,21
Arlen,0.34,57
Bryce,0.26,37
Coy,0.19,33
Mitchel,0.16,65
Rolando,0.17,34
Delmar,0.1,6
Lonny,0.15,55
Merrill,0.86,21
Shelby,0.28,36
Bobbie,0.48,45
Corey,0.76,6
Brady,0.49,17
Donnell,0.95,65
Merlin,0.61,49
Otto,0.8,22
Chuck,0.56,6
Rogelio,0.39,63
Geary,0.25,21
Guillermo,0.38,58
Adolph,0.31,41
Bernie,0.27,23
Kimberly,0.52,30
Davis,0.41,27
Val,0.83,31
Matt,0.59,28
Weldon,0.36,52
Vito,0.4,24
Winfred,0.42,8
Andres,0.79,61
Audie,0.65,64
Armand,0.94,50
Burt,0.82,10
Harris,0.28,51
Benito,0.23,12
Ricki,0.25,41
Rod,0.85,35
Scotty,0.79,49
Cory,0.8,53
Mikel,0.38,50
Carson,0.12,36
Clement,0.02,42
Ryan,0.71,55
Lenard,0.29,34
Ollie,0.91,8
Stanford,0.57,27
Eli,0.84,18
Isaiah,0.61,18
Quentin,0.63,36
Stacy,0.79,29
Rogers,0.26,20
Sonny,0.18,17
Emilio,0.66,29
Jonathon,0.26,21
Maynard,0.75,64
Noah,0.4,5
Charley,0.54,6
Jed,0.68,55
Avery,0.17,62
Shelton,0.84,51
Emery,0.37,64
Cliff,0.43,35
Freeman,0.86,9
Del,0.4,27
Santiago,0.04,46
Shannon,0.1,60
Kip,0.77,13
Ritchie,0.42,25
Saul,0.72,15
Anton,0.76,47
Hans,0.23,29
Hiram,0.63,40
Reggie,0.55,58
Irwin,0.56,13
Anderson,0.22,40
Denver,0.53,6
Emerson,0.05,46
Ignacio,0.56,23
Silas,0.58,59
Tyler,0.26,55
Jackson,0.39,9
Douglass,0.02,51
Linda,0.03,30
Everette,0.13,27
Johnie,0.11,56
Monroe,0.73,38
Stanton,0.12,55
Marco,0.51,42
Rob,0.16,5
Basil,0.82,39
Gerardo,0.43,36
Glynn,0.38,6
Royal,0.25,11
Wilfredo,0.74,12
Dickie,0.36,18
Gustavo,0.88,50
Huey,0.61,23
Major,0.89,49
Stevan,0.63,49
Wilford,0.49,40
Carmine,0.93,55
Connie,0.44,22
Felton,0.68,48
Gail,0.72,32
Jeremy,0.52,23
Jordan,0.47,18
Laverne,0.16,50
Rand,0.91,62
Randel,0.54,8
Raphael,0.23,63
Efrain,0.1,13
Hershel,0.66,6
Kurtis,0.36,29
Marcel,0.02,35
Tod,0.59,27
Xavier,0.66,29
Lemuel,0.85,17
Mckinley,0.29,54
Nickolas,0.95,31
Nicolas,0.41,8
Vince,0.63,57
Myles,0.33,53
Zane,0.12,35
Clair,0.96,21
Mervin,0.83,31
Napoleon,1,45
Dwaine,0.34,50
Forest,0.63,37
Brooks,0.14,52
Butch,0.42,14
Earle,0.99,26
Gil,0.53,50
Isiah,0.3,30
Patricia,0.58,24
Shaun,0.53,63
Marcos,0.67,27
Augustus,0.26,50
Buford,0.11,30
Dee,0.05,12
Trent,0.17,12
Lawerence,0.63,29
Leigh,0.02,38
Toney,0.7,23
Augustine,0.35,21
Bryon,0.25,33
Fritz,0.06,39
Lindsay,0.53,37
Milo,0.19,33
Robby,0.52,21
Fletcher,0.45,64
Leonardo,0.49,25
Rayford,0.07,23
Dalton,0.14,34
Ricci,0.74,35
Emmanuel,0.39,12
Cyril,0.26,51
Rolland,0.96,60
Booker,0.6,12
Graham,0.34,47
Herschel,0.07,53
Otha,0.27,62
Dusty,0.63,33
Houston,0.69,64
Jared,0.74,46
Lenny,0.79,27
Theron,0.66,31
Hilton,0.47,19
Judson,0.73,30
Alden,0.09,56
Debra,0.25,33
Errol,0.42,43
Gaylon,0.66,61
Adolfo,0.83,8
Burl,0.18,25
Carol,0.89,45
Courtney,0.16,46
Dino,0.73,37
Lyman,0.25,20
Artis,0.37,19
Coleman,0.86,8
Hoyt,0.71,12
Jacques,0.77,20
Odis,0.76,21
Raleigh,0.25,19
Verne,0.25,6
Wilburn,0.66,36
Berry,0.66,35
Delmer,0.22,20
Mac,0.89,27
Mel,0.63,60
Sherwood,0.58,24
Vicente,0.65,45
Britt,0.05,13
Bud,0.1,8
Rock,0.69,43
Taylor,0.33,35
Von,0.63,53
Bret,0.57,56
Carlo,0.63,33
Emmitt,0.26,52
Jere,0.29,62
Lavern,0.91,31
Michale,0.43,52
Randle,0.88,40
Wilmer,0.61,65
Bertram,0.81,50
Cleo,0.83,57
Clint,0.57,40
Elmo,0.93,38
Elroy,0.19,12
Faron,0.75,65
Garold,0.21,12
Robbin,0.74,60
Russ,0.43,64
Gregorio,0.96,61
Jules,0.98,42
Wilton,0.01,29
Curtiss,0.03,28
Deborah,0.47,20
Federico,0.34,54
Hugo,0.33,28
Keven,0.18,51
Cleve,0.47,10
Cyrus,0.21,16
Domenic,0.64,13
Fidel,0.35,44
Johnathan,0.65,58
Layne,0.49,44
Lyndon,0.1,59
Lynwood,0.95,12
Maxwell,0.29,35
Dorsey,0.69,10
Waymon,0.43,38
Alford,0.19,31
Donell,0.5,29
Lupe,0.76,65
Olen,0.75,9
Omar,0.58,13
Reynold,0.6,13
Rubin,0.05,47
Arnulfo,0.34,45
Derrell,0.11,48
Gavin,0.87,57
Ike,0.78,50
Issac,0.8,28
King,0.75,49
Cesar,0.22,21
Cody,0.06,14
Donovan,0.98,46
Duke,0.94,36
Lesley,0.75,8
Benedict,0.59,43
Carmelo,0.02,23
Columbus,0.12,22
Gearld,0.64,10
Hayward,0.35,63
Haywood,0.33,23
Jarvis,0.45,41
Kevan,0.62,27
Kit,0.2,64
Prince,0.01,15
Richie,0.48,22
Rolf,0.04,27
Truman,0.64,56
Ashley,0.15,56
Boyce,0.07,36
Eloy,0.1,23
Farrell,0.76,33
Greggory,0.7,39
Lauren,0.63,26
Normand,0.07,51
Woody,0.13,17
Alvis,0.13,28
Chip,0.63,49
Dennie,0.86,55
Gayle,0.92,34
Lucious,0.92,30
Stacey,0.5,33
Wardell,0.98,63
Blane,0.75,8
Carnell,0.59,36
Cruz,0.59,23
Olin,0.02,46
Quinton,0.22,62
Reyes,0.4,7
Alfonzo,0.12,43
Alva,0.55,57
Arden,0.93,64
Arlie,0.09,30
Dewitt,0.9,28
Len,0.09,42
Mason,0.35,22
Noe,0.22,27
Scottie,0.53,63
Agustin,0.82,12
Bernardo,0.16,45
Beverly,0.08,38
Brant,0.91,17
Brendan,0.72,22
Chauncey,0.43,61
Dell,0.57,43
Demetrius,0.83,43
Ferdinand,0.44,38
Gaylord,0.81,39
Humberto,0.3,61
Regis,0.11,16
Walton,0.07,46
Bruno,0.66,48
Franklyn,0.28,59
Hunter,0.28,24
Joaquin,0.72,61
Lacy,0.31,21
Lincoln,0.59,38
Raymon,0.05,52
Rollin,0.69,50
Alphonse,0.66,46
Claud,0.09,64
Damian,0.16,63
Michal,0.4,30
Milford,0.46,64
Vernell,0.83,14
Wally,0.29,22
Darell,0.75,60
Rahn,0.96,45
Shirley,0.32,39
Susan,0.75,31
Artie,0.86,55
Barrett,0.21,42
Darold,0.03,32
Edwardo,0.62,40
Emile,0.86,5
Kelley,0.82,24
Kimball,0.34,35
Thad,0.84,54
Walker,0.28,26
Desmond,0.46,12
Erick,0.89,58
Ethan,0.81,11
Maxie,0.42,50
Melton,0.14,21
Alvaro,0.06,43
Ambrose,0.78,65
Cletus,0.41,18
Cole,0.75,27
Foster,0.65,50
Levon,0.04,6
Rudolfo,0.94,60
Barron,0.47,37
Delton,0.02,39
Duwayne,0.84,30
Kirt,0.43,55
Lannie,0.78,43
Lucius,0.37,53
Marcellus,0.66,42
Newton,0.52,48
Pasquale,0.37,9
Quincy,0.17,10
Stefan,0.69,58
Erich,0.62,63
Gerold,0.81,25
Gino,0.04,58
Murphy,0.86,34
Benton,0.02,39
Buster,0.31,29
Clarke,0.06,14
Elwin,0.34,13
Gonzalo,0.75,20
Logan,0.04,35
Meredith,0.51,60
Carleton,0.13,9
Glendon,0.34,38
Heriberto,0.52,11
Howell,0.75,51
Jonas,0.7,28
Jude,0.63,55
Levern,0.63,49
Lex,0.42,16
Margarito,1,37
Michial,0.63,5
Noble,0.95,11
Parker,0.61,12
Warner,0.88,20
Wyatt,0.45,54
Antony,0.76,37
Aron,0.35,38
Arvin,0.51,40
Barbara,0.98,21
Darcy,0.54,54
Darius,0.9,57
Eliot,0.59,50
Enoch,0.4,13
Gaylen,0.74,23
Giles,0.05,14
Lorenza,0.97,38
Merritt,0.16,63
Micky,0.45,46
Patric,0.58,6
Raymundo,0.68,47
Winford,0.66,49
Abe,0.49,18
Cordell,0.49,9
Dwane,0.26,26
Ezra,0.05,56
Lucien,0.93,6
Mariano,0.91,47
Rowland,0.29,38
Bradly,0.76,9
Eldridge,0.34,58
Harmon,0.75,22
Kennard,0.65,15
Lorin,0.98,55
Lyn,0.12,22
Michael,0.08,29
David,0.41,56
James,0.21,41
Robert,0.25,51
John,0.79,55
William,0.22,65
Richard,0.23,59
Thomas,0.12,26
Mark,0.1,60
Steven,0.13,25
Charles,0.36,39
Gary,0.41,65
Joseph,0.31,43
Donald,0.08,17
Kenneth,0.53,35
Paul,0.06,19
Daniel,0.29,5
Ronald,0.47,8
Larry,0.62,33
Jeffrey,0.37,7
Stephen,0.22,38
Timothy,0.4,48
Dennis,0.94,35
Gregory,0.38,49
Edward,0.52,32
George,0.68,40
Kevin,0.93,22
Terry,0.18,61
Douglas,0.29,29
Randy,0.16,51
Anthony,0.53,18
Bruce,0.5,39
Jerry,0.12,28
Frank,0.12,29
Peter,0.56,13
Raymond,0.77,47
Roger,0.44,5
Scott,0.8,37
Keith,0.72,40
Brian,0.56,40
Patrick,0.01,15
Lawrence,0.93,16
Alan,0.2,62
Wayne,0.54,56
Danny,0.93,52
Ricky,0.1,18
Carl,0.27,58
Christopher,0.19,47
Gerald,0.55,22
Craig,0.17,64
Walter,0.8,40
Dale,0.56,48
Randall,0.27,21
Willie,0.26,50
Johnny,0.48,56
Arthur,0.33,10
Russell,0.38,29
Roy,0.37,17
Glenn,0.14,20
Jack,0.87,39
Henry,0.57,57
Philip,0.68,9
Harold,0.7,27
Stanley,0.41,26
Rodney,0.88,51
Andrew,0.62,41
Ralph,0.14,54
Joe,0.56,9
Billy,0.53,48
Barry,0.44,24
Samuel,0.14,33
Steve,0.87,36
Jeffery,0.21,22
Phillip,0.89,52
Bobby,0.93,22
Albert,0.34,5
Martin,0.2,59
Jimmy,0.21,17
Curtis,0.62,20
Ronnie,0.92,26
Eugene,0.62,21
Louis,0.15,29
Howard,0.56,39
Allen,0.57,50
Eric,0.92,17
Frederick,0.39,26
Micheal,0.51,63
Leonard,0.43,60
Harry,0.02,39
Ernest,1,20
Darrell,0.75,11
Eddie,0.24,50
Tony,0.34,40
Marvin,0.74,26
Melvin,0.56,26
Lee,0.6,7
Kim,0.6,64
Fred,0.7,20
Vincent,0.89,39
Francis,0.98,44
Victor,0.77,23
Jay,0.09,46
Norman,0.72,60
Jose,0.16,30
Matthew,0.91,54
Earl,0.09,13
Bradley,0.57,13
Rick,0.79,41
Tommy,0.63,28
Calvin,0.8,6
Dean,0.66,28
Jerome,0.64,45
Ray,0.62,62
Jon,0.62,54
Rickey,0.67,5
Jonathan,0.26,29
Clarence,0.43,16
Clifford,0.53,45
Alfred,0.8,25
Theodore,0.79,6
Joel,0.63,10
Jesse,0.49,59
Mike,0.05,19
Edwin,0.47,39
Don,0.18,53
Marc,0.96,16
Bernard,0.46,12
Gordon,0.03,12
Herbert,0.83,38
Glen,0.93,25
Warren,0.93,31
Benjamin,0.63,28
Leroy,0.97,35
Alvin,0.87,42
Duane,0.14,64
Dan,0.5,41
Mitchell,0.17,26
Leslie,0.29,10
Garry,0.73,18
Chris,0.68,48
Nicholas,0.88,34
Dwight,0.23,53
Leon,0.75,8
Reginald,0.2,39
Guy,0.33,15
Vernon,0.81,51
Lloyd,0.37,18
Jackie,0.06,23
Kurt,0.21,62
Karl,0.2,53
Wesley,0.84,50
Gene,0.28,26
Brad,0.74,59
Lonnie,0.77,57
Gilbert,0.49,20
Kent,0.92,45
Allan,0.66,37
Robin,0.88,44
Neil,0.02,47
Juan,0.58,64
Lewis,0.07,24
Randolph,0.51,48
Franklin,0.25,55
Clyde,0.37,31
Floyd,0.88,27
Jim,0.53,60
Carlos,0.7,42
Lester,0.02,40
Donnie,0.88,21
Manuel,0.95,17
Bill,0.25,6
Kirk,0.93,26
Todd,0.4,63
Kerry,0.83,28
Leo,0.2,59
Bryan,0.66,20
Dana,0.14,7
Daryl,0.43,34
Gerard,0.67,24
Tom,0.28,33
Terrence,0.24,55
Jeff,0.55,38
Perry,0.76,27
Charlie,0.63,50
Darryl,0.09,5
Milton,0.9,17
Freddie,0.38,51
Ted,0.34,55
Johnnie,0.84,60
Stuart,0.13,33
Rex,0.92,13
Jimmie,0.67,51
Brent,0.27,7
Herman,0.59,5
Lynn,0.55,50
Nathaniel,0.64,49
Arnold,0.68,24
Gregg,0.91,56
Harvey,0.82,9
Ruben,0.46,19
Tyrone,0.28,44
Roland,0.25,26
Chester,0.23,51
Kelly,0.78,5
Cecil,0.94,59
Maurice,0.74,52
Antonio,0.32,55
Alexander,0.66,45
Fredrick,0.37,49
Greg,1,46
Oscar,0.4,18
Terrance,0.35,23
Tim,0.45,38
Randal,0.52,21
Marshall,0.73,38
Ricardo,0.06,18
Aaron,0.87,56
Claude,0.5,41
Mario,0.38,59
Neal,0.61,10
Byron,0.14,30
Lance,0.14,13
Dave,0.14,41
Ross,0.44,26
Sidney,0.29,15
Luis,0.19,12
Marcus,0.36,22
Clifton,0.96,30
Jessie,0.13,6
Wendell,0.17,47
Wallace,0.25,59
Nathan,0.13,21
Edgar,0.92,28
Clayton,0.43,56
Nelson,0.26,20
Hugh,0.78,62
Rickie,0.11,60
Sam,0.21,58
Carlton,0.3,11
Rocky,0.18,17
Jesus,0.18,25
Wade,0.79,13
Clinton,0.28,15
Benny,0.1,33
Morris,0.45,20
Lyle,0.35,15
Raul,0.55,65
Bob,0.13,19
Hector,0.19,53
Terence,0.6,56
Sammy,0.01,10
Roberto,0.77,54
Ben,0.49,48
Clark,0.41,25
Francisco,0.68,9
Max,0.46,17
Bennie,0.65,28
Otis,0.69,53
Willard,0.85,8
Loren,0.15,53
Geoffrey,0.42,48
Marion,0.33,63
Alex,0.28,33
Elmer,0.46,12
Everett,0.91,30
Frankie,0.2,16
Earnest,0.44,8
Luther,0.7,27
Bradford,0.36,16
Joey,0.6,23
Virgil,0.85,14
Kenny,0.84,22
Andre,0.58,45
Ira,0.89,30
Salvatore,0.22,8
Troy,0.61,8
Rudy,0.38,59
Derrick,0.06,26
Rudolph,0.82,52
Delbert,0.86,16
Jan,0.18,30
Roderick,0.28,64
Sylvester,0.49,17
Laurence,0.96,22
Mickey,0.81,31
Stewart,0.47,22
Marty,0.7,12
Alton,0.97,27
Myron,0.89,16
Darrel,0.96,37
Miguel,0.64,43
Grant,0.42,45
Julius,0.36,37
Edmund,0.76,14
Armando,0.11,33
Malcolm,0.57,61
Sherman,0.12,22
Roosevelt,0.13,35
Dwayne,0.5,45
Ramon,0.46,45
Angelo,0.78,9
Archie,0.35,8
Jacob,0.26,55
Andy,1,35
Leland,0.95,32
Rodger,0.21,18
Ivan,0.26,18
Felix,0.08,17
Horace,0.32,17
Pedro,0.38,48
Isaac,0.35,47
Pete,0.24,33
Van,0.32,43
Doyle,0.92,14
Shawn,0.82,37
Monte,0.07,5
Lorenzo,0.13,37
Fernando,0.19,31
Hubert,0.69,22
Kelvin,0.71,25
Jerald,0.98,17
Rene,0.15,58
Tracy,0.88,44
Preston,0.91,58
Jeffry,0.47,53
Wilbert,0.75,41
Tommie,0.62,18
Forrest,0.72,19
Oliver,0.22,49
Sean,0.48,6
Derek,0.22,13
Ron,0.29,27
Unknown,0.57,21
Denis,0.09,55
Cary,0.28,53
Stephan,0.52,27
Teddy,0.36,19
Nick,0.91,14
Lowell,0.03,31
Julian,0.87,21
Brett,0.02,14
Hal,0.15,58
Willis,0.89,33
Marlon,0.87,5
Ken,0.74,18
Wilbur,0.58,18
Angel,0.17,25
Freddy,0.33,45
Adrian,0.59,13
Clay,0.77,43
Ervin,0.5,5
Dallas,0.89,62
Rafael,0.53,43
Alonzo,0.07,51
Dexter,0.71,22
Homer,0.78,33
Arturo,0.38,59
Rufus,0.89,37
Bert,0.82,39
Kyle,0.92,64
Carroll,0.73,52
Grady,0.43,31
Alfredo,0.36,42
Dewey,0.3,17
Jason,0.53,8
Gerry,0.82,60
Mack,0.94,33
Alfonso,0.9,19
Dominic,0.32,19
Conrad,0.71,48
Dirk,0.13,20
Rory,0.79,19
Jaime,0.96,20
Royce,0.71,53
Boyd,0.98,62
Jorge,0.07,40
Ellis,0.27,43
Carey,0.11,24
Buddy,0.57,15
Stevie,0.93,60
Travis,0.24,48
Monty,0.3,40
Sheldon,0.71,8
Irvin,0.47,35
Adam,0.62,45
Christian,0.15,12
Owen,0.71,15
Darwin,0.92,15
Elbert,0.78,42
Louie,0.53,48
Sammie,0.48,35
Cornelius,0.11,61
Alberto,0.87,21
Wilson,0.93,62
Edmond,0.8,40
Noel,1,25
Darnell,0.3,65
Gabriel,0.71,59
Pat,0.27,5
Cleveland,0.69,20
Dominick,0.74,28
Garland,0.94,26
Spencer,0.99,50
Lionel,0.6,22
Ronny,0.45,21
Rusty,0.32,54
Evan,0.54,49
Salvador,0.67,22
Vance,0.85,26
Dewayne,0.88,57
Miles,0.83,27
Bart,0.67,59
Blaine,0.06,28
Guadalupe,0.22,57
Percy,0.38,58
Alphonso,0.77,60
Ernie,0.78,52
Joesph,0.52,9
Shane,0.56,63
Harlan,0.05,35
Casey,0.18,45
Jody,0.72,12
Aubrey,0.05,28
Emmett,0.79,10
Rodolfo,0.45,31
Phil,0.41,39
Curt,0.44,33
Galen,0.32,15
Merle,0.35,20
Marlin,0.6,39
Abraham,0.56,13
Norris,0.97,45
Javier,0.29,40
Al,0.56,16
Amos,0.18,53
Donny,0.06,44
Lamar,0.37,29
Wilfred,0.91,25
Winston,0.49,22
Woodrow,0.59,63
Timmy,0.93,61
Blake,0.16,35
Elton,0.07,59
Murray,0.02,29
Zachary,0.39,20
Enrique,0.01,46
Barney,0.25,37
Scot,0.66,20
Kirby,0.09,24
Orlando,0.55,54
Reed,0.26,5
Grover,0.68,48
Ernesto,0.04,12
Moses,0.87,63
Jess,0.85,22
Ned,0.69,32
